,Gene Name,ORF,SD Localization,SD Intensity (Median),SD STD,N' NOP1pr-GFP in SD Localization,N' NOP1pr-GFP in SD Intensity,N' TEF2pr-mCherry in SD Localization,N' TEF2pr-mCherry in SD Intensity,N' NATIVEpr-GFP in SD Localization,N' NATIVEpr-GFP in SD Intensity
821,ISW2,YOR304W,nucleus,19.41,4.0011,nucleus,0.0,nucleus,51.1418,nucleus,27.9278
644,ISY1,YJR050W,nucleus,23.15,4.87142,nucleus,39.5746,nucleus,0.0,nucleus,28.1957
1269,ITC1,YGL133W,nucleus,31.31,7.27763,nucleus,49.6811,nucleus,65.88,missing,22.629
38,ITR1,YDR497C,cell periphery,178.56,66.5693,"cell periphery,vacuole",45.928999999999995,"cell periphery,vacuole",59.5194,"cell periphery,ER,vacuole",97.8147
165,ITR2,YOL103W,below threshold,16.29,4.40232,"cell periphery,vacuole",81.3285,"cell periphery,vacuole",129.407,below threshold,15.4642
433,ITT1,YML068W,,,,"cytosol,punctate",23.951,missing,,below threshold,19.6819
25,IVY1,YDR229W,below threshold,15.64,4.23075,"punctate,vacuole membrane",67.5578,"punctate,vacuole membrane",105.42,"punctate,vacuole membrane",21.3702
1481,IWR1,YDL115C,below threshold,24.28,6.36071,cytosol,25.0353,cytosol,17.7645,cytosol,21.1288
812,IXR1,YKL032C,below threshold,17.86,3.98653,nucleus,124.545,missing,,nucleus,34.2348
114,IZH1,YDR492W,ER,26.47,8.59131,ER,45.2682,vacuole,38.0008,ER,27.6341
427,IZH2,YOL002C,below threshold,14.13,3.9180099999999998,"ER,punctate",69.3179,"cell periphery,vacuole",77.4743,below threshold,30.0669
11,IZH3,YLR023C,,,,"ambiguous,ER",30.129,below threshold,11.5065,below threshold,17.9609
429,IZH4,YOL101C,below threshold,14.64,4.85887,"punctate,vacuole",49.0404,"cell periphery,vacuole",85.2821,below threshold,19.1031
180,JAC1,YGL018C,mitochondria,29.4,6.3462,mitochondria,93.7984,mitochondria,,missing,0.0
845,JEM1,YJL073W,below threshold,18.27,5.26306,"ER,punctate",74.182,"ER,vacuole",55.8525,below threshold,18.4298
96,JEN1,YKL217W,below threshold,18.06,5.62483,"cell periphery,vacuole",32.3602,vacuole,48.8936,below threshold,21.4517
134,JHD1,YER051W,below threshold,16.71,3.6790199999999995,nucleus,53.1369,nucleus,31.2014,ambiguous,20.7136
811,JHD2,YJR119C,nucleus,19.58,4.5568599999999995,nucleus,47.1889,nucleus,28.6498,nucleus,21.8463
144,JID1,YPR061C,below threshold,16.62,3.8650800000000003,below threshold,17.5162,missing,74.2021,missing,0.0
1137,JIP3,YLR331C,below threshold,18.17,3.43656,,,,,,
201,JIP4,YDR475C,below threshold,16.08,4.09443,"cytosol,cell periphery",51.7269,cell periphery,51.5315,below threshold,30.0794
225,JIP5,YPR169W,nucleus,49.43,12.0517,"nucleus,nucleolus",97.1352,"nucleus,nucleolus",91.179,"nucleus,nucleolus",39.0498
290,JJJ1,YNL227C,cytosol,27.69,6.597389999999999,cytosol,63.6474,cytosol,85.8101,cytosol,26.9173
748,JJJ2,YJL162C,,,,"punctate,nucleus",51.3189,nucleus,37.1481,below threshold,20.5848
1952,JJJ3,YJR097W,cytosol,45.31,9.12597,"cytosol,nucleus",54.335,"cytosol,nucleus",156.881,below threshold,21.3871
767,JLP1,YLL057C,below threshold,16.43,4.33504,punctate,23.9198,below threshold,5.89752,below threshold,16.3865
45,JLP2,YMR132C,cytosol,21.82,5.27226,nucleolus,53.0299,nucleus,22.8701,below threshold,15.4516
1536,JNM1,YMR294W,below threshold,17.43,4.5715,cytosol,60.8296,cytosol,81.0281,cytosol,16.8252
198,JSN1,YJR091C,below threshold,16.44,3.71525,"cytosol,cell periphery",56.2478,cytosol,54.315,punctate,21.281
287,KAE1,YKR038C,nucleus,26.98,7.021839999999999,nucleus,61.8394,nucleus,27.7974,nucleus,25.7483
397,KAP104,YBR017C,nucleus,53.7,13.5526,"cytosol,nucleus",106.581,nucleus,151.129,nucleus,71.4266
1207,KAP114,YGL241W,nucleus:cytosol,27.27,5.621169999999999,cytosol,99.3661,cytosol,107.316,nucleus,25.2562
447,KAP120,YPL125W,nucleus,27.43,8.73594,nucleus,99.2197,nucleus,101.51299999999999,nucleus,46.5925
633,KAP122,YGL016W,nucleus,32.58,7.72653,"punctate,nuclear periphery",124.354,nucleus,5.43176,nucleus,34.0839
836,KAP123,YER110C,"nucleus, cytosol",112.76,25.2684,nucleus,390.88699999999994,nucleus,314.70799999999997,nucleus,225.1
1462,KAP95,YLR347C,punctate:nuclear periphery,177.17,46.3932,"cytosol,punctate,nuclear periphery",123.90299999999999,"punctate,nuclear periphery",141.07399999999998,"punctate,nuclear periphery",89.7509
481,KAR1,YNL188W,,,,ER,138.504,ER,97.6087,"ER,punctate",218.33700000000002
67,KAR3,YPR141C,,,,nucleus,60.5767,nucleus,71.3695,"punctate,nucleus",29.1328
36,KAR4,YCL055W,nucleus,29.28,8.979460000000001,cytosol,57.254,cytosol,19.0504,below threshold,27.3186
35,KAR5,YMR065W,below threshold,14.73,4.25018,below threshold,14.5523,below threshold,5.21892,below threshold,15.73
496,KAR9,YPL269W,,,,punctate,32.2097,punctate,20.4108,punctate,21.526999999999997
82,KCC4,YCL024W,bud neck,,5.0993,bud neck,53.0701,bud neck,25.3922,bud neck,22.9346
1123,KCS1,YDR017C,cytosol,36.03,7.25926,cytosol,56.3847,cytosol,44.3415,cytosol,32.3547
507,KDX1,YKL161C,,,,"cytosol,nucleus",66.7921,nucleus,60.876000000000005,below threshold,19.0115
248,KEG1,YFR042W,,,,ER,74.6493,ER,142.751,below threshold,21.6293
71,KEI1,YDR367W,punctate,46.47,14.2431,punctate,105.272,"cell periphery,vacuole",269.276,punctate,42.567
49,KEL1,YHR158C,,,,bud,99.9723,bud,68.9672,bud,27.7976
65,KEL2,YGR238C,bud neck,,6.27147,"bud,bud neck",51.1727,bud neck,45.4936,below threshold,14.1908
760,KEL3,YPL263C,,,,cytosol,128.091,cytosol,157.872,cytosol,50.9252
253,KES1,YPL145C,cytosol,144.3,27.3735,cytosol,221.265,"cytosol,bud neck",172.111,cytosol,78.2057
1155,KEX1,YGL203C,punctate,49.15,10.939,,,,,,
121,KEX2,YNL238W,,,,vacuole,26.1293,vacuole,8.135589999999999,"ambiguous,punctate",21.3911
222,KGD1,YIL125W,below threshold,16.55,3.42216,mitochondria,138.786,mitochondria,201.58700000000002,cytosol,79.8347
430,KGD2,YDR148C,mitochondria,56.59,24.6577,mitochondria,172.899,mitochondria,347.185,mitochondria,34.2486
259,KHA1,YJL094C,below threshold,17.24,5.16535,ER,36.8242,ER,23.4652,below threshold,16.6613
1299,KIC1,YHR102W,cytosol,26.11,5.87228,cytosol,35.7667,cytosol,16.5981,below threshold,28.3361
2005,KIN1,YDR122W,cytosol,24.89,7.00005,cytosol,66.5978,cytosol,,cytosol,30.0668
1362,KIN2,YLR096W,cytosol,24.26,5.62905,cytosol,67.5869,cytosol,59.4721,cytosol,31.423000000000002
571,KIN28,YDL108W,cytosol,19.31,4.3365800000000005,nucleus,65.1265,nucleus,71.3377,nucleus,25.9271
1672,KIN3,YAR018C,,,,"cytosol,nucleus",65.9539,nucleus,70.8638,cytosol,22.9785
61,KIN4,YOR233W,cell periphery,27.3,6.53268,"cell periphery,bud",56.1323,cell periphery,0.0,cytosol,29.0729
1675,KIN82,YCR091W,,,,"cytosol,punctate",63.7634,cytosol,29.7731,below threshold,20.070999999999998
831,KIP1,YBL063W,punctate,19.23,4.60315,punctate,47.34,punctate,0.0,bud neck,24.3719
818,KIP2,YPL155C,punctate,23.11,4.75992,punctate,48.4267,punctate,26.0066,punctate,22.9939
894,KIP3,YGL216W,punctate,30.78,7.640739999999999,punctate,58.556999999999995,punctate,,punctate,27.1962
1892,KKQ8,YKL168C,cytosol,22.05,5.682,cytosol,56.8065,"cell periphery,vacuole",0.0,below threshold,19.575
742,KNH1,YDL049C,,,,"ER,vacuole",45.1444,vacuole,23.037,below threshold,20.3262
1035,KNS1,YLL019C,below threshold,18.37,4.68987,nucleus,62.8138,nucleus,78.6165,nucleus,26.9496
74,KOG1,YHR186C,below threshold,19.6,3.92573,"cytosol,punctate,vacuole membrane",63.1393,"cytosol,punctate",67.6218,"ambiguous,vacuole membrane",24.0745
127,KRE1,YNL322C,,,,vacuole,33.6632,missing,11.4489,vacuole,39.1912
1166,KRE11,YGR166W,below threshold,17.53,3.6994300000000004,,,,,,
112,KRE2,YDR483W,punctate,38.07,12.5002,"punctate,vacuole membrane",179.604,"ER,vacuole",311.96,vacuole,32.9191
1167,KRE27,YIL027C,ER,72.96,17.7763,,,,,,
788,KRE28,YDR532C,,,,punctate,61.0157,punctate,57.1483,punctate,26.915
573,KRE29,YER038C,nucleus,19.57,4.171469999999999,nucleus,48.9595,nucleus,7.77314,nucleus,25.5524
207,KRE33,YNL132W,nucleus,19.89,4.12611,"nucleus,nucleolus",226.49099999999999,"cell periphery,vacuole",223.47,"nucleus,nucleolus",107.61399999999999
826,KRE5,YOR336W,,,,ER,107.75,ER,70.9726,"cell periphery,ER",31.7035
52,KRE6,YPR159W,below threshold,14.65,3.7988800000000005,"punctate,bud neck",92.5033,"cell periphery,vacuole,bud",43.1396,"punctate,bud",40.9673
876,KRE9,YJL174W,below threshold,17.18,4.4638,"ER,vacuole",61.528,vacuole,33.6606,"ER,vacuole",40.9902
129,KRI1,YNL308C,"nucleus, cytosol",63.16,15.6492,nucleolus,117.605,"nucleus,nucleolus",196.96200000000002,"nucleus,nucleolus",79.6158
209,KRR1,YCL059C,cytosol,18.53,3.96014,"nucleus,nucleolus",159.786,missing,17.2717,missing,
1828,KRS1,YDR037W,,,,cytosol,369.42,missing,396.816,cytosol,295.099
215,KSH1,YNL024C-A,,,,vacuole,71.0423,vacuole,17.74,below threshold,17.8735
627,KSP1,YHR082C,cytosol,36.66,9.39373,cytosol,59.2746,cytosol,25.0005,cytosol,28.51
583,KSS1,YGR040W,nucleus,27.72,7.28943,"cytosol,nucleus",60.5339,nucleus,85.7265,nucleus,33.3935
775,KTI11,YBL071W-A,nucleus:cytosol,89.02,26.2705,cytosol,107.838,nucleus,166.12599999999998,"cytosol,nucleus",50.773
1174,KTI12,YKL110C,cytosol,31.9,7.08857,,,,,,
378,KTR1,YOR099W,,,,"punctate,vacuole membrane",169.726,"ER,vacuole",254.012,vacuole,53.1289
726,KTR2,YKR061W,below threshold,13.27,3.5489900000000003,ER,84.8505,"ER,vacuole",38.4135,below threshold,18.3003
18,KTR3,YBR205W,vacuole,19.9,6.0227699999999995,"punctate,vacuole",98.928,vacuole,181.36700000000002,punctate,27.1021
7,KTR4,YBR199W,vacuole,19.89,5.817740000000001,"punctate,vacuole membrane",64.3511,vacuole membrane,102.905,vacuole membrane,38.6405
414,KTR5,YNL029C,below threshold,15.41,4.36412,"ER,punctate",47.8533,"ER,vacuole",65.3855,below threshold,17.9756
523,KTR6,YPL053C,punctate,24.48,6.53544,"ER,vacuole",126.62,"ER,vacuole",182.269,"ER,vacuole",35.055
183,KTR7,YIL085C,,,,"ER,punctate",61.1226,"ER,vacuole",130.487,below threshold,21.1573
509,KXD1,YGL079W,,,,"cytosol,punctate",78.2543,cytosol,107.98200000000001,punctate,20.9461
263,LAA1,YJL207C,punctate,36.03,9.45872,punctate,56.2516,punctate,36.7023,punctate,31.3485
351,LAC1,YKL008C,below threshold,14.21,3.70229,"ER,punctate,nuclear periphery",109.00299999999999,"ER,punctate",134.108,nuclear periphery,54.0912
61,LAG1,YHL003C,below threshold,13.89,4.04343,"cell periphery,ER,punctate",125.23899999999999,ER,142.15200000000002,"punctate,nuclear periphery",55.2525
593,LAG2,YOL025W,below threshold,17.26,3.8164300000000004,"cytosol,nucleus",61.3316,nucleus,82.3398,below threshold,27.2789
208,LAM4,YHR080C,,,,"cell periphery,punctate",55.2413,"cell periphery,punctate",8.87094,below threshold,18.3076
222,LAM5,YFL042C,,,,"ER,punctate",59.6411,"ER,punctate",81.0603,punctate,21.5785
353,LAM6,YLR072W,,,,punctate,80.5312,"punctate,mitochondria",87.6614,punctate,24.7399
141,LAP2,YNL045W,cytosol,41.07,11.517000000000001,below threshold,13.8122,below threshold,85.3324,below threshold,17.0778
1776,LAP3,YNL239W,"cytosol, mitochondria",48.31,12.4598,cytosol,315.383,cytosol,337.41,punctate,30.2477
997,LAS1,YKR063C,nucleus,20.87,5.1973400000000005,nucleus,46.5137,nucleus,9.84528,nucleus,25.7256
59,LAS17,YOR181W,below threshold,16.82,4.06706,"punctate,bud neck",60.6155,"punctate,bud neck",56.3719,"punctate,bud neck",29.0237
844,LAS21,YJL062W,ER,28.54,7.5834,ER,68.3376,ER,22.1239,ER,24.4296
413,LAT1,YNL071W,mitochondria,55.04,16.3023,mitochondria,268.808,mitochondria,418.097,"ambiguous,punctate",39.4566
400,LCB1,YMR296C,,,,ER,50.1072,ER,19.8109,ER,37.3424
100,LCB2,YDR062W,,,,ER,107.11200000000001,ER,40.7907,ER,63.5861
267,LCB3,YJL134W,ER,19.32,5.25799,ER,65.0456,ER,96.1046,ER,36.0986
146,LCB4,YOR171C,cytosol,31.38,7.8148,cell periphery,100.479,"cell periphery,vacuole",114.67200000000001,"ambiguous,punctate",35.8611
183,LCB5,YLR260W,below threshold,15.79,3.3625300000000005,cytosol,71.3415,cytosol,112.759,cytosol,29.5376
736,LCD1,YDR499W,below threshold,19.32,4.13225,punctate,51.9063,"punctate,nucleus",33.5099,nucleus,24.2419
139,LCL1,YPL056C,below threshold,15.69,4.3127699999999995,below threshold,13.7273,below threshold,92.321,below threshold,16.0546
759,LCL2,YLR104W,below threshold,17.44,3.94939,"ER,vacuole",104.73700000000001,"ER,vacuole",70.8556,"ER,punctate",50.4179
43,LCL3,YGL085W,mitochondria,21.41,5.96939,"punctate,vacuole,mitochondria",21.4252,below threshold,6.49571,mitochondria,17.3594
44,LCP5,YER127W,below threshold,17.08,3.7210400000000003,nucleolus,91.1699,"nucleus,nucleolus",93.3707,nucleolus,59.4596
1189,LDB16,YCL005W,punctate,20.87,4.1542,,,,,,
3,LDB17,YDL146W,cytosol,21.9,5.076969999999999,"punctate,bud neck",58.4531,"cytosol,punctate",73.9904,below threshold,13.8658
92,LDB18,YLL049W,,,,below threshold,26.3291,below threshold,7.643110000000001,below threshold,19.3839
206,LDB19,YOR322C,,,,"cytosol,punctate",47.7445,"cytosol,punctate",43.7865,"cytosol,punctate",32.4822
458,LDB7,YBL006C,below threshold,16.76,4.13802,nucleus,64.4612,nucleus,38.0029,nucleus,38.9343
15,LDH1,YBR204C,,,,ER,84.0199,ER,124.90799999999999,below threshold,24.6317
997,LDO16,YMR148W,,,,punctate,117.946,punctate,291.078,punctate,43.1991
292,LDO45,YMR147W,,,,"cell periphery,punctate",134.862,"ER,punctate",66.2226,punctate,46.978
3,LDS1,YAL018C,,,,punctate,112.38,punctate,195.118,below threshold,17.2763
411,LDS2,YOL047C,,,,punctate,30.9903,punctate,46.0063,below threshold,19.0915
894,LEA1,YPL213W,nucleus,28.15,7.413360000000001,"cytosol,nucleus",85.74799999999999,nucleus,89.9071,nucleus,33.8599
1450,LEE1,YPL054W,cytosol,17.93,4.70225,cytosol,65.6991,cytosol,17.989,below threshold,27.8536
395,LEM3,YNL323W,ER,36.87,11.002,ER,84.1242,vacuole,92.094,"punctate,bud neck",28.7993
852,LEO1,YOR123C,below threshold,14.91,3.4634699999999996,nucleus,100.15,nucleus,90.2449,missing,
1373,LEU1,YGL009C,below threshold,17.2,3.8866400000000003,cytosol,253.722,cytosol,262.443,cytosol,84.9206
85,LEU3,YLR451W,nucleus,20.75,5.05247,nucleus,40.1128,nucleus,45.4328,"punctate,nucleus",27.6369
433,LEU4,YNL104C,below threshold,15.74,4.05768,mitochondria,216.40599999999998,mitochondria,378.05699999999996,cytosol,182.451
36,LEU5,YHR002W,mitochondria,14.92,3.7097599999999997,mitochondria,29.8467,mitochondria,31.1704,mitochondria,20.3624
317,LEU9,YOR108W,mitochondria,69.97,23.1628,mitochondria,144.381,mitochondria,236.604,"cytosol,nucleus",56.8069
872,LGE1,YPL055C,below threshold,15.66,3.87605,nucleus,40.8007,nucleus,29.2579,nucleus,36.532
685,LHP1,YDL051W,below threshold,14.28,3.7604699999999998,nucleus,229.955,nucleus,0.0,nucleus,85.1076
695,LHS1,YKL073W,,,,ER,123.794,"ER,vacuole",61.8756,below threshold,18.1583
692,LIA1,YJR070C,cytosol,225.81,56.1824,cytosol,215.21,cytosol,346.50199999999995,nucleus,82.2975
515,LIF1,YGL090W,below threshold,16.86,4.04493,nucleus,79.6103,nucleus,78.9214,below threshold,20.61
452,LIN1,YHR156C,nucleus,16.79,3.73935,nucleus,63.8643,nucleus,118.715,nucleus,21.2443
401,LIP1,YMR298W,,,,ER,171.46900000000002,ER,297.941,"ER,punctate",61.7571
278,LIP2,YLR239C,mitochondria,17.74,5.05515,mitochondria,97.9159,mitochondria,63.5978,"ambiguous,mitochondria",24.6608
375,LIP5,YOR196C,mitochondria,48.98,14.1707,mitochondria,118.337,mitochondria,111.279,"nucleus,mitochondria",33.6311
328,LMO1,YLL007C,,,,cytosol,34.9778,cytosol,27.9131,below threshold,25.2197
146,LNP1,YHR192W,,,,ER,99.8209,"ER,punctate",194.769,ER,37.2841
199,LOC1,YFR001W,nucleus,52.01,13.2609,"nucleus,nucleolus",158.269,"cell periphery,vacuole",0.0,"nucleus,nucleolus",86.4048
2258,LOG1,YJL055W,,,,cytosol,183.678,cytosol,363.37800000000004,cytosol,69.7518
137,LOH1,YJL038C,below threshold,16.13,3.4904900000000003,cytosol,72.9177,cytosol,104.21,below threshold,17.9112
576,LOS1,YKL205W,nuclear periphery,37.88,8.5948,"punctate,nuclear periphery",84.37299999999999,"punctate,nuclear periphery",85.8631,"punctate,nuclear periphery",83.0996
72,LOT5,YKL183W,nucleus,29.61,5.7946800000000005,nucleus,95.6909,nucleus,101.88,nucleus,40.2517
1327,LOT6,YLR011W,cytosol,26.72,7.39165,cytosol,92.7125,cytosol,158.355,below threshold,20.5647
178,LPD1,YFL018C,mitochondria,161.92,68.2755,mitochondria,163.981,mitochondria,37.0111,"cytosol,punctate",62.9032
1206,LPE10,YPL060W,below threshold,16.66,3.96527,,,,,,
514,LPL1,YOR059C,,,,"ER,punctate",51.7613,"ER,punctate",74.8862,punctate,22.9945
1,LPP1,YDR503C,below threshold,14.3,3.4418800000000003,"ambiguous,punctate",48.7848,vacuole,63.6498,below threshold,22.0849
374,LPX1,YOR084W,,,,punctate,110.741,punctate,100.353,punctate,19.3218
61,LRE1,YCL051W,cytosol,22.31,4.42318,"punctate,bud neck",45.9326,cytosol,0.0,below threshold,24.7858
85,LRG1,YDL240W,bud neck,,5.38224,"bud,bud neck",36.979,cytosol,29.1852,bud neck,22.3704
236,LRO1,YNR008W,below threshold,17.4,4.24183,cytosol,60.1213,cytosol,59.3643,cytosol,27.4707
147,LRP1,YHR081W,below threshold,16.16,3.68261,below threshold,12.9854,missing,73.922,below threshold,18.5808
290,LRS4,YDR439W,nucleolus,21.45,5.24429,"punctate,nucleus",63.6718,nucleus,57.9343,below threshold,18.042
1610,LSB1,YGR136W,,,,"cytosol,punctate",125.916,punctate,102.693,"punctate,nucleus",68.0764
2006,LSB3,YFR024C-A,cytosol,46.25,13.7047,"cytosol,punctate",130.911,"cytosol,punctate",45.5929,"punctate,bud neck",53.6584
35,LSB5,YCL034W,cytosol,26.78,7.61361,cytosol,118.479,"cytosol,nucleus",217.98,cytosol,54.0476
57,LSB6,YJL100W,below threshold,15.91,4.63419,vacuole membrane,61.57,vacuole membrane,59.6617,below threshold,20.1923
337,LSC1,YOR142W,mitochondria,62.26,21.2533,mitochondria,126.595,missing,,missing,
209,LSC2,YGR244C,mitochondria,92.22,26.8729,mitochondria,201.06599999999997,"punctate,mitochondria",133.416,"cytosol,punctate,vacuole",41.3324
78,LSG1,YGL099W,below threshold,16.3,3.68149,cytosol,176.015,cytosol,232.114,cytosol,42.8747
1419,LSM1,YJL124C,cytosol,68.32,14.7511,cytosol,154.046,cytosol,109.536,cytosol,56.5914
441,LSM12,YHR121W,cytosol,36.08,7.76008,"cytosol,nucleus",147.213,nucleus,205.56099999999998,cytosol,40.2963
1298,LSM2,YBL026W,"nucleus, cytosol",70.2,18.0489,cytosol,129.433,cytosol,176.852,missing,0.0
1234,LSM3,YLR438C-A,"nucleus, cytosol",88.94,24.645,"cytosol,nucleus",180.28900000000002,nucleus,190.571,cytosol,79.8223
983,LSM4,YER112W,below threshold,18.38,4.05039,cytosol,172.174,cytosol,113.191,cytosol,98.441
2200,LSM5,YER146W,below threshold,16.83,4.17076,cytosol,133.632,cytosol,30.9263,"cytosol,punctate",38.3228
923,LSM6,YDR378C,,,,cytosol,152.9,cytosol,119.678,cytosol,84.3713
1569,LSM7,YNL147W,,,,cytosol,158.137,cytosol,249.49200000000002,cytosol,50.6384
489,LSM8,YJR022W,nucleus,25.26,6.690580000000001,"cytosol,nucleus",72.6645,cytosol,117.165,nucleus,28.9322
450,LSO1,YJR005C-A,,,,"cytosol,nucleus",130.846,nucleus,271.57599999999996,mitochondria,19.3788
1121,LSO2,YGR169C-A,,,,cytosol,113.22399999999999,cytosol,0.0,cytosol,89.1058
182,LSP1,YPL004C,below threshold,15.64,3.9533300000000002,"cell periphery,punctate",294.559,"cell periphery,punctate",334.352,"cell periphery,punctate",24.9861
25,LST4,YKL176C,below threshold,18.45,5.39415,cytosol,33.7622,cytosol,17.1216,below threshold,14.6746
122,LST7,YGR057C,below threshold,17.46,3.5588599999999997,cytosol,40.6552,"cytosol,nucleus",55.8456,below threshold,14.2444
245,LST8,YNL006W,,,,"cytosol,punctate",51.5097,"cytosol,punctate",15.7516,"cytosol,punctate",33.5028
44,LTE1,YAL024C,bud,22.07,5.95407,bud,34.5957,below threshold,32.6133,punctate,18.2065
324,LTO1,YNL260C,,,,mitochondria,92.2362,"punctate,mitochondria",20.4849,below threshold,17.1956
386,LTP1,YPR073C,cytosol,37.2,9.29932,cytosol,197.21099999999998,nucleus,423.12800000000004,cytosol,79.5758
1780,LTV1,YKL143W,,,,cytosol,111.16,cytosol,108.648,cytosol,46.0476
1261,LUC7,YDL087C,nucleus,27.48,5.5109,"cytosol,nucleus",60.2697,nucleus,48.158,below threshold,20.6579
2259,LUG1,YLR352W,nucleolus,48.96,14.5568,cytosol,41.7909,cytosol,40.8578,below threshold,20.643
179,LYP1,YNL268W,,,,"cell periphery,ER",105.12799999999999,missing,,below threshold,19.2656
212,LYS1,YIR034C,,,,punctate,170.359,punctate,244.14,punctate,357.649
228,LYS12,YIL094C,mitochondria,230.98,68.396,mitochondria,98.1762,missing,,below threshold,15.9498
7,LYS14,YDR034C,nucleus,26.58,5.36194,nucleolus,40.2239,"punctate,nucleus",28.3217,below threshold,17.4327
2170,LYS2,YBR115C,cytosol,488.23,145.385,cytosol,157.53799999999998,cytosol,11.194,cytosol,174.856
576,LYS20,YDL182W,nucleus,744.12,251.857,nucleus,175.732,nucleus,154.89600000000002,nucleus,468.56800000000004
529,LYS21,YDL131W,below threshold,17.14,3.76409,nucleus,229.21400000000003,nucleus,264.64099999999996,nucleus,292.468
1248,LYS5,YGL154C,cytosol,20.01,4.442080000000001,cytosol,74.3315,cytosol,81.3259,below threshold,18.6457
255,LYS9,YNR050C,cytosol,868.79,224.93599999999998,"cell periphery,ER",65.7365,"cell periphery,vacuole",15.9715,below threshold,18.3668
1671,MAC1,YMR021C,below threshold,16.52,3.9242800000000004,"cytosol,punctate,nucleus",66.5192,nucleus,54.2808,punctate,20.4471
555,MAD1,YGL086W,nuclear periphery,22.54,5.93009,"punctate,nuclear periphery",26.1212,punctate,7.52787,cytosol,20.0236
